Date,Ticker,Open,High,Low,Close,Volume
2022-04-11,AAPL,113.45,113.6,112.5,112.58,9416320
2022-04-12,AAPL,111.82,113.36,110.67,111.43,6001045
2022-04-13,AAPL,113.23,113.78,110.26,112.1,4196340
2022-04-14,AAPL,114.0,114.74,111.36,112.89,6692493
2022-04-15,AAPL,110.47,111.21,109.99,110.36,1092193
2022-04-18,AAPL,111.15,112.0,108.87,111.73,3715514
2022-04-19,AAPL,112.8,115.45,109.86,113.92,5100673
2022-04-20,AAPL,112.79,114.61,111.18,112.62,1550222
2022-04-21,AAPL,113.71,116.58,113.16,114.1,5264694
2022-04-22,AAPL,118.05,118.28,114.46,116.11,2854971
2022-04-25,AAPL,115.06,116.64,113.56,114.12,9001482
2022-04-26,AAPL,111.22,111.8,108.61,109.78,6606594
2022-04-27,AAPL,111.53,112.1,109.44,109.99,6279548
2022-04-28,AAPL,113.1,115.52,111.91,112.49,5246049
2022-04-29,AAPL,111.63,112.15,109.44,111.85,4125354
2022-05-02,AAPL,113.27,114.11,110.97,111.62,7160686
2022-05-03,AAPL,109.4,111.78,107.6,110.28,7558221
2022-05-04,AAPL,112.64,113.04,111.18,112.19,2215502
2022-05-05,AAPL,111.58,113.87,109.84,112.42,6642264
2022-05-06,AAPL,113.65,114.64,113.19,113.2,9376430
2022-05-09,AAPL,114.94,117.22,113.0,114.75,6196467
2022-05-10,AAPL,112.55,115.23,111.91,113.64,1944789
2022-05-11,AAPL,109.3,112.06,109.11,112.01,6986126
2022-05-12,AAPL,111.37,113.43,110.28,112.86,9913742
2022-05-13,AAPL,112.49,113.04,108.45,109.15,7681134
2022-05-16,AAPL,109.62,109.63,108.41,109.37,3883427
2022-05-17,AAPL,107.95,111.31,105.79,108.98,9767500
2022-05-18,AAPL,111.97,113.0,110.82,112.92,3719269
2022-05-19,AAPL,109.05,110.47,108.51,110.37,9525631
2022-05-20,AAPL,113.09,113.96,112.28,113.0,4925282
2022-05-23,AAPL,112.57,115.73,111.59,113.38,8817304
2022-05-24,AAPL,112.07,115.41,111.73,114.78,3562469
2022-05-25,AAPL,111.07,112.18,106.65,107.38,1914228
2022-05-26,AAPL,106.53,108.69,105.32,107.1,5537358
2022-05-27,AAPL,107.43,109.13,105.78,106.82,7097091
2022-05-30,AAPL,108.94,109.32,106.86,107.75,5057893
2022-05-31,AAPL,105.08,107.72,101.74,106.73,9514716
2022-06-01,AAPL,105.44,106.36,102.28,103.69,6735193
2022-06-02,AAPL,102.39,103.92,101.17,101.83,5327819
2022-06-03,AAPL,103.37,104.03,101.58,103.19,3792427
2022-06-06,AAPL,106.67,107.14,106.01,106.27,6352825
2022-06-07,AAPL,103.91,104.49,103.51,104.05,1494592
2022-06-08,AAPL,105.83,107.45,102.75,102.91,9900019
2022-06-09,AAPL,104.66,105.76,103.67,105.54,2017433
2022-06-10,AAPL,104.56,106.09,102.99,105.23,1996530
2022-06-13,AAPL,104.09,105.18,101.31,102.02,2045482
2022-06-14,AAPL,102.86,103.03,101.51,101.51,8022336
2022-06-15,AAPL,101.68,103.05,100.59,100.92,8433533
2022-06-16,AAPL,101.32,102.39,100.59,101.84,9976973
2022-06-17,AAPL,102.29,105.5,99.43,103.91,4943645
2022-06-20,AAPL,100.79,101.14,100.64,100.88,6211593
2022-06-21,AAPL,101.36,103.51,99.16,102.26,3602967
2022-06-22,AAPL,99.94,100.95,98.68,99.64,9736347
2022-06-23,AAPL,101.28,102.23,100.32,101.4,1978039
2022-06-24,AAPL,98.63,100.47,97.95,99.76,8229039
2022-06-27,AAPL,100.48,101.41,98.72,98.9,5455214
2022-06-28,AAPL,99.44,100.52,96.71,97.87,8271476
2022-06-29,AAPL,97.74,98.27,97.05,97.44,6499593
2022-06-30,AAPL,97.96,98.08,94.41,96.61,3859244
2022-07-01,AAPL,93.3,95.08,91.57,94.14,2014929
2022-07-04,AAPL,96.36,96.37,95.44,95.51,7238795
2022-07-05,AAPL,93.44,95.69,92.49,94.12,2500844
2022-07-06,AAPL,93.92,95.29,92.13,92.47,4337920
2022-07-07,AAPL,92.93,93.5,90.76,92.06,1876031
2022-07-08,AAPL,93.47,93.69,92.98,93.57,1415008
2022-07-11,AAPL,93.24,93.5,91.11,91.36,2170365
2022-07-12,AAPL,94.56,95.82,89.76,91.27,3704999
2022-07-13,AAPL,90.23,91.75,89.75,91.29,6787749
2022-07-14,AAPL,90.71,90.91,87.56,88.5,8542535
2022-07-15,AAPL,91.01,91.77,89.23,90.47,1464071
2022-07-18,AAPL,88.32,90.38,88.08,90.19,7123769
2022-07-19,AAPL,87.76,88.81,87.22,88.09,9593223
2022-07-20,AAPL,89.64,90.43,88.04,89.29,3547500
2022-07-21,AAPL,90.52,91.65,89.08,89.88,2841648
2022-07-22,AAPL,93.16,94.75,91.9,92.84,5137270
2022-07-25,AAPL,92.75,93.35,92.34,92.5,8904294
2022-07-26,AAPL,95.01,96.45,94.73,94.98,8744064
2022-07-27,AAPL,94.47,95.88,93.6,94.6,4047569
2022-07-28,AAPL,91.51,92.26,91.35,91.63,1910775
2022-07-29,AAPL,91.93,92.64,91.88,92.55,6693075
2022-08-01,AAPL,91.73,92.19,90.65,91.07,4743797
2022-08-02,AAPL,91.47,92.2,89.78,90.73,7666455
2022-08-03,AAPL,92.62,93.65,92.49,93.01,3339767
2022-08-04,AAPL,92.52,93.0,92.22,92.73,9168984
2022-08-05,AAPL,92.24,93.4,89.73,90.53,6809041
2022-08-08,AAPL,90.61,91.3,89.53,91.28,1506079
2022-08-09,AAPL,92.2,94.65,91.18,93.88,8426263
2022-08-10,AAPL,92.9,94.14,92.43,93.38,2730228
2022-08-11,AAPL,95.0,95.46,92.62,92.96,6672605
2022-08-12,AAPL,94.08,94.82,92.38,92.95,9877580
2022-08-15,AAPL,92.93,93.63,91.04,91.63,7493509
2022-08-16,AAPL,96.63,97.77,94.89,95.27,5068316
2022-08-17,AAPL,95.33,95.91,95.11,95.33,3042999
2022-08-18,AAPL,96.6,99.03,96.53,97.5,5421590
2022-08-19,AAPL,94.73,94.9,93.34,93.95,9674163
2022-08-22,AAPL,96.79,97.37,96.45,96.9,4722946
2022-08-23,AAPL,97.08,100.03,95.6,98.97,2847865
2022-08-24,AAPL,96.14,97.92,94.75,96.71,5625678
2022-08-25,AAPL,97.87,99.57,96.27,99.1,6241218
2022-08-26,AAPL,95.86,97.55,94.58,97.39,6290717
2022-08-29,AAPL,97.43,98.83,95.55,95.67,2804673
2022-08-30,AAPL,94.33,96.14,94.3,95.87,4303389
2022-08-31,AAPL,92.14,93.64,91.41,92.93,7737320
2022-09-01,AAPL,94.95,95.2,94.05,94.43,3542637
2022-09-02,AAPL,93.9,97.28,93.7,96.43,9962049
2022-09-05,AAPL,96.05,97.38,94.11,95.16,4882149
2022-09-06,AAPL,97.91,98.48,95.38,96.74,2443717
2022-09-07,AAPL,100.15,101.68,98.97,99.83,7906571
2022-09-08,AAPL,99.67,100.76,98.31,98.43,4829049
2022-09-09,AAPL,100.13,103.45,99.67,101.73,5335702
2022-09-12,AAPL,102.06,103.13,96.69,98.34,4174108
2022-09-13,AAPL,100.29,103.79,100.2,100.8,2940369
2022-09-14,AAPL,99.26,102.33,97.43,97.6,8778748
2022-09-15,AAPL,96.94,97.32,94.95,95.57,3229180
2022-09-16,AAPL,98.7,99.46,95.49,98.55,3363999
2022-09-19,AAPL,97.76,99.78,96.25,98.24,1289102
2022-09-20,AAPL,98.86,100.41,97.17,98.63,7086368
2022-09-21,AAPL,100.15,100.47,98.78,99.06,1388076
2022-09-22,AAPL,98.53,101.91,96.75,100.26,7491878
2022-09-23,AAPL,99.45,100.74,97.55,98.7,1152999
2022-09-26,AAPL,99.35,100.11,96.94,97.09,2042377
2022-09-27,AAPL,101.05,101.21,97.4,98.53,9361735
2022-09-28,AAPL,101.91,102.26,100.37,100.69,2805808
2022-09-29,AAPL,103.28,105.81,102.16,105.63,4622138
2022-09-30,AAPL,102.81,104.14,102.68,103.43,2208052
2022-10-03,AAPL,103.83,104.33,100.34,102.87,5439850
2022-10-04,AAPL,102.62,104.34,101.92,102.36,4184790
2022-10-05,AAPL,98.66,100.51,98.02,100.24,1800101
2022-10-06,AAPL,99.61,100.76,99.46,100.26,5642929
2022-10-07,AAPL,100.56,100.94,98.87,99.38,6416775
2022-10-10,AAPL,100.86,102.23,98.99,101.22,6742533
2022-10-11,AAPL,102.78,103.05,101.04,101.55,9908385
2022-10-12,AAPL,98.93,101.48,98.21,100.9,9545106
2022-10-13,AAPL,100.38,102.65,99.04,101.66,2100500
2022-10-14,AAPL,97.93,101.8,96.96,100.94,4037099
2022-10-17,AAPL,96.78,97.21,95.5,96.51,7579137
2022-10-18,AAPL,93.43,95.19,93.01,94.13,7030489
2022-10-19,AAPL,92.55,96.52,92.06,94.25,3086213
2022-10-20,AAPL,96.07,96.48,95.19,96.4,5156532
2022-10-21,AAPL,94.75,95.54,94.22,95.36,7428540
2022-10-24,AAPL,97.82,98.03,93.72,96.08,5117923
2022-10-25,AAPL,96.11,99.36,96.05,98.31,1175211
2022-10-26,AAPL,95.68,96.7,94.15,96.39,9544291
2022-10-27,AAPL,96.75,97.85,95.63,97.4,2455465
2022-10-28,AAPL,100.1,100.52,98.14,99.19,7002296
2022-10-31,AAPL,97.3,98.54,96.43,97.84,9002619
2022-11-01,AAPL,100.42,100.85,98.15,99.28,4696176
2022-11-02,AAPL,100.21,100.39,99.86,99.99,1863663
2022-11-03,AAPL,97.56,100.01,96.84,98.84,3891005
2022-11-04,AAPL,96.25,97.86,95.11,96.0,6629481
2022-11-07,AAPL,98.22,100.95,97.85,99.33,4258084
2022-11-08,AAPL,97.47,98.43,97.28,97.86,6181057
2022-11-09,AAPL,98.15,98.96,95.0,96.63,2548075
2022-11-10,AAPL,97.91,98.59,95.94,97.85,1780641
2022-11-11,AAPL,96.09,96.25,95.8,95.91,5001070
2022-11-14,AAPL,97.37,97.48,94.96,95.83,6311499
2022-11-15,AAPL,97.66,99.72,97.59,98.34,7127764
2022-11-16,AAPL,99.64,100.07,99.15,99.49,8940879
2022-11-17,AAPL,98.4,99.55,96.2,97.7,4324664
2022-11-18,AAPL,95.17,98.52,93.12,97.44,1233782
2022-11-21,AAPL,97.02,101.06,96.99,99.18,3878117
2022-11-22,AAPL,94.17,96.23,93.61,95.69,3733460
2022-11-23,AAPL,95.59,98.11,93.92,94.79,4368045
2022-11-24,AAPL,93.88,94.36,92.57,93.5,3869729
2022-11-25,AAPL,94.3,94.91,89.88,92.55,1841531
2022-11-28,AAPL,94.68,95.93,92.94,94.42,9336900
2022-11-29,AAPL,95.83,96.15,93.98,94.56,4243087
2022-11-30,AAPL,94.98,96.75,94.39,95.53,9324454
2022-12-01,AAPL,92.96,94.72,92.15,94.32,3430525
2022-12-02,AAPL,93.07,97.39,90.56,95.54,5749766
2022-12-05,AAPL,96.08,96.25,94.95,95.33,9592974
2022-12-06,AAPL,97.04,97.49,94.99,96.13,2726676
2022-12-07,AAPL,96.95,97.37,95.02,95.8,3607411
2022-12-08,AAPL,93.74,94.64,92.58,93.95,9985826
2022-12-09,AAPL,91.31,94.37,90.7,94.17,3726016
2022-12-12,AAPL,94.37,95.14,93.24,93.91,4923227
2022-12-13,AAPL,96.95,97.73,95.44,96.06,8436754
2022-12-14,AAPL,95.45,97.01,94.9,95.96,2673879
2022-12-15,AAPL,95.56,97.73,94.32,95.34,1629085
2022-12-16,AAPL,93.24,94.74,93.21,93.85,6303943
2022-12-19,AAPL,95.99,96.47,93.3,93.56,6137997
2022-12-20,AAPL,94.59,95.33,93.29,93.64,8214938
2022-12-21,AAPL,94.04,95.71,93.54,95.23,4293705
2022-12-22,AAPL,95.64,96.2,93.69,94.91,9181883
2022-12-23,AAPL,93.47,94.27,93.43,94.11,5278384
2022-12-26,AAPL,95.01,97.48,94.76,97.18,3659083
2022-12-27,AAPL,96.41,97.96,95.43,95.9,4895958
2022-12-28,AAPL,96.06,97.88,96.03,97.56,3120539
2022-12-29,AAPL,96.96,97.65,95.76,97.08,2599908
2022-12-30,AAPL,97.9,100.77,96.18,100.2,6949852
2023-01-02,AAPL,97.06,98.72,96.86,97.73,3513024
2023-01-03,AAPL,96.99,97.82,96.19,96.8,4909439
2023-01-04,AAPL,96.37,97.79,95.21,97.4,2116271
2023-01-05,AAPL,96.65,99.2,95.58,97.78,2935090
2023-01-06,AAPL,97.46,97.47,93.77,95.26,5742297
2023-01-09,AAPL,93.48,94.9,91.97,93.15,6276728
2023-01-10,AAPL,91.6,94.18,91.11,93.17,9874883
2023-01-11,AAPL,93.52,95.02,91.47,92.92,4567675
2023-01-12,AAPL,93.52,96.08,93.01,95.3,4287058
2023-01-13,AAPL,93.24,94.81,91.5,94.14,2409854
2023-01-16,AAPL,93.63,95.66,91.89,95.11,3127599
2023-01-17,AAPL,94.2,94.49,91.53,92.81,6289730
2023-01-18,AAPL,93.82,93.98,90.4,91.34,9975708
2023-01-19,AAPL,91.61,92.25,90.21,90.31,3866757
2023-01-20,AAPL,92.51,93.44,92.08,92.13,8232212
2023-01-23,AAPL,92.46,92.87,92.25,92.54,1486799
2023-01-24,AAPL,94.51,94.52,92.47,92.56,5034464
2023-01-25,AAPL,91.62,92.6,90.8,91.87,7208714
2023-01-26,AAPL,92.36,92.85,89.73,90.45,1450930
2023-01-27,AAPL,90.55,91.53,90.27,90.79,6403252
2023-01-30,AAPL,88.96,90.89,88.05,89.86,4284321
2023-01-31,AAPL,90.7,90.91,86.48,87.74,6451973
2023-02-01,AAPL,90.59,91.39,89.74,89.92,7911855
2023-02-02,AAPL,90.89,91.75,88.58,89.2,8370683
2023-02-03,AAPL,89.53,90.84,88.77,89.54,9070297
2023-02-06,AAPL,90.21,91.52,88.41,88.49,3901717
2023-02-07,AAPL,88.04,89.3,87.72,88.73,8440449
2023-02-08,AAPL,90.43,90.5,89.02,89.81,8382003
2023-02-09,AAPL,91.01,91.96,87.83,87.95,2274634
2023-02-10,AAPL,89.08,89.89,87.11,87.69,8601748
2023-02-13,AAPL,88.95,89.9,86.63,87.71,1824143
2023-02-14,AAPL,90.17,91.03,89.73,90.11,8379933
2023-02-15,AAPL,89.86,90.07,89.38,89.85,5226156
2023-02-16,AAPL,88.76,90.27,87.89,90.1,9921334
2023-02-17,AAPL,89.5,90.24,89.23,89.74,4878363
2023-02-20,AAPL,90.39,92.05,90.07,90.42,8946155
2023-02-21,AAPL,89.64,90.15,89.27,89.34,5623636
2023-02-22,AAPL,89.35,91.59,88.98,91.37,3131018
2023-02-23,AAPL,92.71,93.11,91.86,92.23,6710754
2023-02-24,AAPL,91.03,91.46,89.79,90.71,5740039
2023-02-27,AAPL,92.02,93.13,90.48,91.82,6429219
2023-02-28,AAPL,92.13,92.84,91.1,92.25,5058848
2023-03-01,AAPL,90.36,90.88,89.34,90.2,2021469
2023-03-02,AAPL,91.0,92.42,90.72,92.38,1463001
2023-03-03,AAPL,92.56,94.57,92.03,92.67,8130030
2023-03-06,AAPL,93.02,95.76,92.52,94.16,2357453
2023-03-07,AAPL,93.27,94.33,92.87,93.52,3414165
2023-03-08,AAPL,93.54,93.61,92.4,93.48,5900164
2023-03-09,AAPL,92.07,94.41,91.59,94.33,6858338
2023-03-10,AAPL,93.41,97.02,92.76,95.29,5304459
2023-03-13,AAPL,91.43,91.86,89.33,90.63,3770742
2023-03-14,AAPL,90.38,91.52,88.21,91.29,5109803
2023-03-15,AAPL,91.94,93.5,90.91,91.48,3084504
2023-03-16,AAPL,92.44,92.61,90.42,91.89,6353912
2023-03-17,AAPL,89.59,93.03,88.79,91.89,5070028
2023-03-20,AAPL,91.8,92.24,90.15,90.86,9222502
2023-03-21,AAPL,92.37,92.48,89.3,89.44,5961828
2023-03-22,AAPL,92.74,93.7,91.35,91.43,3408630
2023-03-23,AAPL,92.97,93.57,90.35,91.61,4714379
2023-03-24,AAPL,90.19,91.34,89.14,90.57,9312934
2023-03-27,AAPL,91.33,92.69,90.79,91.59,5204955
2023-03-28,AAPL,92.98,94.53,91.41,92.23,2372070
2023-03-29,AAPL,93.25,95.31,93.2,95.02,9494630
2023-03-30,AAPL,97.74,98.05,97.01,97.99,7494503
2023-03-31,AAPL,99.0,100.54,95.51,95.69,9201428
2023-04-03,AAPL,96.64,99.1,96.5,97.79,5201765
2023-04-04,AAPL,98.63,100.35,97.7,99.61,2897501
2023-04-05,AAPL,97.85,98.13,96.01,96.27,7607912
2023-04-06,AAPL,93.7,94.8,91.16,92.63,4887008
2023-04-07,AAPL,96.66,98.71,95.66,98.27,8772580
2023-04-10,AAPL,95.74,97.58,95.2,96.24,6752613
2023-04-11,AAPL,94.88,96.18,93.79,95.92,5701669
2023-04-12,AAPL,96.66,98.17,96.65,97.06,6988099
2023-04-13,AAPL,96.45,96.6,95.7,96.41,4878450
2023-04-14,AAPL,94.1,94.56,93.87,94.34,7049850
2023-04-17,AAPL,95.45,97.49,94.37,95.98,8736484
2023-04-18,AAPL,97.03,98.97,96.61,98.3,7538655
2023-04-19,AAPL,99.27,102.74,99.19,100.69,3844180
2023-04-20,AAPL,100.74,103.06,100.57,101.21,6301358
2023-04-21,AAPL,98.38,100.16,97.54,99.46,7890709
2023-04-24,AAPL,102.55,103.86,100.93,100.96,1239779
2023-04-25,AAPL,102.41,103.01,100.16,102.3,8499412
2023-04-26,AAPL,102.83,103.24,100.82,101.35,4683909
2023-04-27,AAPL,101.05,101.06,99.6,99.99,2143647
2023-04-28,AAPL,98.71,103.28,96.92,102.01,2230746
2023-05-01,AAPL,99.11,105.55,98.89,104.45,2162189
2023-05-02,AAPL,96.86,101.73,96.75,100.04,1125438
2023-05-03,AAPL,101.49,101.63,99.11,100.12,7839789
2023-05-04,AAPL,100.41,104.03,99.32,103.55,6910184
2023-05-05,AAPL,101.04,101.79,100.17,101.25,6124674
2023-05-08,AAPL,103.46,103.9,101.45,102.27,3531528
2023-05-09,AAPL,104.56,105.36,104.2,104.42,3118433
2023-05-10,AAPL,103.01,103.23,102.19,103.08,9607009
2023-05-11,AAPL,103.82,104.38,102.14,104.24,3857281
2023-05-12,AAPL,102.52,103.3,101.33,102.22,3332214
2023-05-15,AAPL,102.19,104.71,102.05,103.12,3250397
2023-05-16,AAPL,102.88,105.35,99.77,103.99,5808163
2023-05-17,AAPL,102.2,104.2,101.4,103.06,2195885
2023-05-18,AAPL,104.05,107.51,103.64,104.63,9066513
2023-05-19,AAPL,101.75,103.56,100.8,102.58,1441904
2022-01-03,MSFT,99.27,101.24,98.42,100.2,2416842
2022-01-04,MSFT,100.54,101.94,100.35,100.86,7428099
2022-01-05,MSFT,101.28,102.09,100.89,101.94,7985945
2022-01-06,MSFT,101.74,102.21,100.19,101.11,2396436
2022-01-07,MSFT,103.53,103.74,101.73,102.36,3464722
2022-01-10,MSFT,101.9,102.9,100.6,100.92,3870574
2022-01-11,MSFT,101.46,102.36,99.27,102.02,4881857
2022-01-12,MSFT,104.74,105.83,102.83,102.91,4852256
2022-01-13,MSFT,105.79,106.24,104.74,104.89,5510784
2022-01-14,MSFT,104.24,105.79,104.07,105.22,4287093
2022-01-17,MSFT,102.47,103.64,100.57,100.79,9357998
2022-01-18,MSFT,99.7,100.61,97.84,98.77,8563493
2022-01-19,MSFT,100.29,101.02,97.15,97.89,3345704
2022-01-20,MSFT,98.61,98.71,96.87,98.39,2886963
2022-01-21,MSFT,102.12,102.92,101.03,102.08,1676296
2022-01-24,MSFT,101.67,103.25,99.79,100.58,1273452
2022-01-25,MSFT,97.62,99.95,97.45,98.33,1762371
2022-01-26,MSFT,101.1,101.31,99.96,100.61,3235883
2022-01-27,MSFT,101.91,102.8,100.28,101.19,9987114
2022-01-28,MSFT,103.04,103.77,100.8,100.86,4948401
2022-01-31,MSFT,100.27,101.06,100.27,100.47,6895725
2022-02-01,MSFT,98.24,98.42,96.73,98.08,3664749
2022-02-02,MSFT,97.69,98.9,97.14,97.58,7928655
2022-02-03,MSFT,98.24,101.06,98.13,100.51,2578315
2022-02-04,MSFT,96.21,97.24,96.05,97.09,6440107
2022-02-07,MSFT,98.29,98.92,97.42,97.9,2449991
2022-02-08,MSFT,98.04,99.55,96.24,96.79,7450219
2022-02-09,MSFT,98.17,98.79,96.13,97.37,6830395
2022-02-10,MSFT,96.39,97.83,95.85,97.09,1479083
2022-02-11,MSFT,95.18,97.0,93.69,96.27,7709914
2022-02-14,MSFT,96.56,98.5,92.51,93.19,6875293
2022-02-15,MSFT,94.51,97.94,93.76,97.28,7760403
2022-02-16,MSFT,95.65,96.36,92.37,93.38,8272003
2022-02-17,MSFT,93.55,97.43,91.09,96.9,5139289
2022-02-18,MSFT,95.0,95.82,94.7,95.67,6968333
2022-02-21,MSFT,96.08,99.07,96.07,97.66,6525724
2022-02-22,MSFT,94.22,94.88,92.92,94.79,3535394
2022-02-23,MSFT,94.39,97.54,94.01,97.11,1686268
2022-02-24,MSFT,98.79,99.58,95.9,99.1,6250295
2022-02-25,MSFT,100.02,100.98,97.28,99.48,4314344
2022-02-28,MSFT,98.88,99.96,97.11,97.77,9080552
2022-03-01,MSFT,97.22,99.62,96.06,98.57,8232024
2022-03-02,MSFT,95.57,96.91,94.9,96.12,4410580
2022-03-03,MSFT,95.25,96.68,94.12,94.6,5896799
2022-03-04,MSFT,95.66,96.86,94.14,96.76,5445818
2022-03-07,MSFT,96.84,99.4,93.83,97.46,9990499
2022-03-08,MSFT,97.63,98.0,96.44,96.85,5784808
2022-03-09,MSFT,97.84,98.27,96.55,97.31,3122827
2022-03-10,MSFT,99.39,99.88,94.49,95.72,3227039
2022-03-11,MSFT,92.85,94.93,92.43,94.87,3570115
2022-03-14,MSFT,96.36,98.13,91.72,93.91,2033668
2022-03-15,MSFT,95.93,96.4,95.16,95.66,9271330
2022-03-16,MSFT,95.75,97.97,94.82,96.53,7508856
2022-03-17,MSFT,94.27,96.69,92.45,95.62,4432207
2022-03-18,MSFT,95.06,95.53,93.17,94.33,7439051
2022-03-21,MSFT,93.04,96.13,91.61,95.53,9362101
2022-03-22,MSFT,92.46,94.0,91.99,93.42,7789408
2022-03-23,MSFT,95.24,96.37,94.52,95.02,2568146
2022-03-24,MSFT,95.8,96.06,94.15,94.52,4469992
2022-03-25,MSFT,95.47,97.37,94.58,95.6,1059778
2022-03-28,MSFT,93.19,94.63,93.0,93.69,9910762
2022-03-29,MSFT,93.56,96.69,92.97,95.01,5256146
2022-03-30,MSFT,97.73,98.72,96.14,97.67,7721635
2022-03-31,MSFT,99.8,101.24,95.36,96.74,9167707
2022-04-01,MSFT,97.53,98.23,95.39,96.12,5840351
2022-04-04,MSFT,97.02,98.04,96.84,97.73,2834907
2022-04-05,MSFT,98.52,99.1,93.58,95.46,8081905
2022-04-06,MSFT,98.44,99.49,98.21,99.2,2897951
2022-04-07,MSFT,95.94,99.55,94.29,98.22,5310518
2022-04-08,MSFT,99.8,101.24,99.6,99.85,9127333
2022-04-11,MSFT,101.42,101.46,99.08,99.76,7766886
2022-04-12,MSFT,99.52,99.82,98.21,98.92,6241684
2022-04-13,MSFT,101.38,103.14,98.07,102.69,7469723
2022-04-14,MSFT,101.59,102.06,97.52,98.84,9074444
2022-04-15,MSFT,99.71,102.35,99.22,101.65,2315823
2022-04-18,MSFT,105.11,105.96,103.09,103.66,4817042
