LoanID,Amount,Term,InterestRate,Income,CreditScore,Age,Default
200,19750.02,48,2.65,45174.04,805,52,0
201,65067.19,24,6.86,50132.94,516,69,0
202,5000.0,12,3.13,137288.51,772,18,0
203,53848.68,36,6.67,56295.52,529,37,0
204,19044.52,60,2.0,61174.18,850,34,0
205,69265.32,12,3.95,131044.65,716,67,0
206,7323.71,12,8.14,258494.05,428,55,0
207,114081.99,60,3.15,66440.64,771,65,0
208,13891.68,48,5.59,184342.78,603,58,1
209,21781.1,24,3.57,214713.12,742,62,0
210,149967.65,48,4.94,20000.0,648,49,0
211,43194.68,36,5.43,35556.6,614,52,0
212,22767.3,12,5.29,300000.0,624,52,0
213,149390.34,48,6.63,134341.02,532,45,0
214,19955.08,24,5.56,26561.43,605,45,0
215,5000.0,36,6.8,193907.09,520,52,1
216,287999.99,48,5.61,232235.79,602,51,0
217,15588.15,12,4.63,78608.04,669,48,0
218,95277.05,24,3.38,122316.85,755,47,0
219,9048.57,12,2.76,95384.22,798,55,0
220,65718.03,12,4.94,177099.52,648,43,1
221,37164.1,36,6.55,33955.41,537,26,0
222,197920.52,24,5.0,47290.99,644,48,0
223,40240.86,60,5.16,136727.09,633,31,1
224,5000.0,12,3.0,138394.59,781,60,1
225,46301.65,24,3.64,136466.6,737,36,0
226,7851.2,12,4.57,106322.02,673,37,0
227,80108.45,48,2.7,158421.83,802,51,0
228,97094.78,48,5.65,196581.84,599,44,0
229,32898.03,24,4.01,179785.68,712,62,0
230,76443.95,36,5.65,52429.04,599,41,0
231,7839.17,60,5.61,63894.52,602,40,0
232,33871.39,48,7.92,87572.78,443,33,0
233,25039.17,36,4.76,36955.99,660,27,0
234,47249.61,60,4.73,54086.17,662,37,0
235,5000.0,48,5.11,78684.22,636,51,0
236,69741.1,60,4.25,55190.14,695,64,0
237,5000.0,12,3.47,39624.23,749,57,0
238,53424.26,24,4.94,61819.37,648,36,0
239,5000.0,48,4.04,230179.65,710,47,0
240,89156.26,48,4.37,242919.73,687,45,0
241,9600.39,12,3.35,33773.98,757,62,0
242,36231.63,48,4.14,20000.0,703,64,0
243,15156.23,48,2.26,75677.26,832,18,0
244,64123.25,48,4.53,23657.52,676,65,1
245,19382.57,48,6.28,33825.89,556,21,0
246,64478.2,48,3.08,105654.31,776,49,0
247,16764.63,36,3.98,48670.9,714,18,0
248,69811.8,48,4.23,192401.24,697,60,1
249,5000.0,12,7.16,43068.29,495,39,0
250,16655.69,48,2.76,98214.94,798,55,1
251,34520.9,60,3.45,241575.72,750,40,1
252,5000.0,60,4.46,48471.04,681,59,0
253,10291.84,12,9.05,20000.0,365,19,0
254,136313.5,36,5.4,30366.05,616,54,0
255,188254.05,12,2.13,217626.08,841,51,0
256,67305.62,36,4.23,40011.52,697,50,1
257,14530.99,24,6.67,23948.71,529,52,0
258,15090.23,60,5.72,134622.87,594,62,0
259,51893.32,60,5.49,23110.0,610,59,0
260,6255.47,60,3.28,81304.08,762,23,0
261,148123.95,36,7.11,20000.0,499,46,0
262,12732.54,12,3.38,57117.23,755,50,0
263,395866.41,36,3.77,165729.05,728,44,0
264,34232.55,60,2.0,46223.3,850,47,1
265,73795.64,60,4.14,20513.08,703,52,1
266,5000.0,60,6.71,71965.7,526,56,0
267,109797.15,60,4.98,109661.2,645,53,0
268,15735.68,24,6.36,64568.2,550,57,0
269,55121.49,60,4.36,247930.75,688,74,0
270,82086.51,36,2.38,31969.59,824,41,0
271,8965.17,60,6.16,51595.31,564,42,0
272,29215.49,48,3.56,61135.51,743,55,0
273,34044.72,24,5.81,89792.65,588,44,0
274,18707.0,60,7.18,30651.65,494,39,0
275,32865.44,48,2.6,47653.43,809,38,0
276,19102.98,36,4.57,45329.85,673,54,0
277,22372.81,24,4.2,29191.05,699,51,0
278,55331.9,60,3.66,60891.15,736,72,1
279,50064.29,36,7.4,108300.0,479,29,0
280,13215.58,48,5.3,20000.0,623,29,1
281,113886.28,24,7.31,68858.46,485,45,0
282,99311.6,60,5.68,78657.04,597,33,0
283,35574.04,36,3.25,77375.67,764,18,0
284,28391.92,24,4.27,292658.99,694,38,0
285,23648.88,48,5.81,79337.1,588,77,0
286,61424.87,60,4.88,56368.0,652,80,0
287,55686.2,24,5.13,40249.63,635,53,0
288,10919.03,48,4.46,45723.93,681,28,0
289,55654.53,48,5.83,34042.27,587,33,0
290,14546.45,36,5.1,41508.93,637,46,0
291,5000.0,48,4.69,49609.87,665,37,0
292,60066.93,48,4.3,59477.73,692,47,0
293,51752.81,12,4.6,100024.59,671,45,0
294,26450.27,48,7.29,37816.38,486,26,0
295,37294.29,60,6.74,38144.15,524,44,0
296,147033.04,24,4.01,74791.61,712,51,0
297,45218.13,60,5.29,74916.72,624,39,0
298,53630.26,60,5.56,44352.85,605,59,0
299,5000.0,36,5.29,20004.81,624,45,0
300,9075.76,12,5.29,130287.18,624,43,0
301,17901.81,12,7.48,93274.05,473,45,0
302,38759.02,60,2.41,68827.92,822,36,0
303,74937.53,24,5.08,116384.45,638,51,0
304,19374.45,12,4.89,20000.0,651,32,1
305,22032.53,12,4.81,20000.0,657,80,0
306,14795.85,60,3.51,65139.14,746,75,0
307,14692.34,12,3.92,106264.63,718,43,0
308,148663.18,36,5.03,63656.1,642,53,0
309,50455.56,60,6.19,20000.0,562,54,0
310,8474.29,12,3.12,106362.94,773,53,0
311,64051.44,12,4.84,38023.71,655,55,0
312,64010.51,12,4.05,138919.52,709,56,0
313,54901.15,60,6.49,282160.22,541,55,0
314,7235.13,24,3.98,20000.0,714,33,1
315,26211.71,48,6.99,27399.22,507,51,1
316,5644.79,12,5.49,53589.6,610,33,0
317,84809.88,48,4.72,70990.51,663,52,1
318,53235.5,48,2.39,128640.5,823,59,0
319,35382.99,12,3.96,62703.72,715,50,0
320,21004.74,12,2.83,26128.99,793,56,0
321,10182.33,48,4.24,87568.85,696,48,0
322,5627.51,24,6.52,27733.34,539,72,0
323,174077.99,48,6.52,40525.96,539,51,0
324,11135.22,24,3.8,138220.86,726,31,0
325,5000.0,36,6.38,37217.02,549,37,0
326,163071.91,24,7.16,28484.18,495,51,0
327,39809.05,60,6.33,42636.62,552,64,0
328,79642.99,12,4.53,96586.74,676,51,0
329,5000.0,36,6.07,20000.0,570,48,0
330,41844.63,48,3.09,87044.83,775,28,0
331,25392.33,24,4.3,61492.2,692,73,0
332,73912.68,36,4.65,37640.18,668,25,0
333,5000.0,60,4.36,62026.29,688,21,0
334,25682.36,24,4.04,56166.7,710,37,0
335,80240.79,48,4.02,52433.93,711,53,0
336,36980.22,48,6.1,59970.1,568,38,0
337,39929.69,24,3.08,57828.28,776,35,0
338,5110.76,60,4.01,32474.85,712,32,0
339,7097.22,12,5.49,44737.59,610,71,0
340,56505.09,12,3.79,83987.77,727,50,0
341,56203.68,48,6.86,20000.0,516,58,0
342,193408.43,60,3.67,69991.74,735,75,0
343,62231.58,48,4.5,21129.99,678,75,0
344,33986.23,12,8.04,66866.5,435,31,0
345,97360.29,48,2.01,20000.0,849,48,1
346,5517.14,24,6.81,35036.22,519,56,0
347,29827.87,24,4.08,75642.44,707,46,0
348,16921.35,60,2.86,54060.31,791,34,1
349,5526.35,12,8.72,61351.97,388,18,0
350,72090.79,60,4.57,29118.43,673,65,0
351,35748.38,60,3.63,111539.11,738,72,0
352,40683.18,12,3.29,55143.92,761,56,1
353,26488.12,36,3.15,49634.67,771,44,0
354,30840.54,36,3.57,63412.22,742,36,0
355,6165.89,48,5.4,20000.0,616,46,0
356,55877.19,36,4.25,55670.64,695,65,0
357,28321.09,24,2.0,64990.22,850,53,0
358,84849.99,60,3.08,34022.0,776,18,0
359,10925.66,48,5.88,120887.53,583,69,0
360,11474.12,60,3.37,20000.0,756,55,0
361,51888.97,12,2.95,111384.59,785,28,0
362,93541.25,36,6.19,149169.55,562,53,0
363,31951.69,12,4.95,90440.43,647,48,0
364,64905.73,48,5.33,36173.54,621,48,0
365,365405.78,24,3.57,71624.6,742,29,0
366,231604.67,36,5.51,28707.24,609,41,0
367,68194.72,12,5.83,206900.57,587,20,0
368,67274.22,36,3.32,52576.71,759,63,0
369,14225.61,60,6.67,29660.0,529,32,1
370,89649.9,24,4.65,20000.0,668,61,0
371,25968.28,36,5.97,60825.24,577,54,0
372,163500.44,24,3.32,131506.59,759,39,0
373,5000.0,60,5.81,88067.78,588,33,1
374,28620.9,60,4.87,120595.42,653,48,1
375,40578.58,12,8.4,226172.32,410,61,1
376,25972.82,48,4.91,62720.96,650,57,0
377,11822.79,12,5.17,53106.43,632,53,0
378,44945.69,24,4.81,252618.6,657,42,0
379,70512.53,12,3.02,72365.67,780,57,1
380,51759.15,36,4.05,20000.0,709,21,0
381,13357.96,12,4.34,36104.17,689,48,0
382,65765.32,48,5.99,244750.22,576,45,0
383,14846.09,48,2.0,81467.01,850,26,0
384,9630.86,24,7.59,132921.89,466,39,0
385,58667.01,60,6.65,26049.63,530,70,0
386,92507.76,48,6.03,132481.66,573,53,0
387,32844.57,24,4.63,49423.37,669,59,0
388,37899.41,48,4.85,136246.3,654,38,0
389,18030.39,48,6.01,195124.94,574,19,0
390,34122.04,60,4.66,34911.03,667,67,0
391,7077.2,36,3.24,106818.14,765,34,0
392,155986.41,24,4.84,75899.7,655,40,0
393,80562.14,48,6.74,44352.34,524,24,0
394,55126.96,48,5.07,37823.79,639,65,0
395,38630.56,12,6.1,72359.45,568,49,0
396,78551.53,36,6.95,30758.78,510,43,1
397,34135.81,60,4.87,58792.13,653,54,0
398,17831.88,24,6.23,112496.26,559,39,0
399,8739.95,48,5.4,20000.0,616,35,0
400,52147.37,24,4.3,27717.24,692,27,1
401,132554.49,60,4.44,34969.04,682,25,0
402,8339.26,36,3.16,89538.09,770,61,1
403,9923.65,12,7.43,122877.03,477,64,0
404,28423.27,36,5.21,70824.14,629,19,1
405,82227.19,12,3.44,107998.3,751,44,0
406,17401.53,24,7.35,84425.11,482,46,0
407,14645.65,36,5.17,208364.02,632,35,0
408,48374.77,36,4.62,24163.71,670,32,1
409,38352.04,36,6.51,23249.23,540,46,1
410,5000.0,60,5.9,20000.0,582,34,0
411,5000.0,24,6.64,20000.0,531,45,0
412,51502.79,12,4.52,35108.01,677,28,0
413,31285.98,36,8.55,67857.74,400,36,0
414,176983.66,24,6.03,68054.89,573,40,0
415,56742.77,60,5.96,89756.41,578,39,0
416,5000.0,60,3.6,62871.55,740,62,0
417,32794.38,24,7.19,66300.69,493,36,0
418,26760.01,12,3.03,89695.8,779,59,0
419,5642.42,24,3.83,189058.56,724,18,0
420,128333.28,24,3.4,151405.6,754,45,0
421,81740.68,48,5.53,20225.81,607,18,0
422,13073.82,60,5.52,233523.92,608,63,0
423,14784.42,12,6.06,253654.93,571,75,0
424,5000.0,48,4.07,20222.46,708,44,0
425,17599.83,24,5.43,52245.7,614,70,0
426,43928.32,60,6.09,77508.07,569,33,0
427,27309.12,48,5.43,99728.13,614,59,0
428,174102.15,48,4.37,27431.77,687,57,0
429,5000.0,12,6.76,20000.0,523,42,1
430,44754.62,24,6.31,146434.11,554,44,0
431,97705.49,12,2.96,110483.11,784,49,0
432,32767.62,48,6.23,64546.16,559,48,0
433,5000.0,48,2.81,53731.57,794,50,0
434,13906.49,12,5.68,121104.39,597,77,0
435,19561.03,48,6.89,23160.54,514,75,0
436,169061.64,36,2.92,85990.94,787,57,0
437,121392.27,60,2.38,112110.75,824,76,0
438,148963.92,24,5.77,62521.49,591,28,0
439,87365.64,60,3.32,27197.91,759,57,0
440,21666.06,24,4.76,29295.64,660,57,0
441,118157.34,48,4.69,46843.96,665,38,0
442,200000.4,12,4.46,62876.97,681,77,0
443,21544.63,12,4.88,29143.61,652,69,0
444,15092.83,48,4.76,119422.2,660,53,1
445,39583.92,24,4.91,79906.14,650,34,0
446,10360.57,48,5.75,20000.0,592,21,0
447,5000.0,24,5.94,83399.05,579,29,0
448,145782.48,48,6.58,135518.04,535,69,0
449,130009.57,48,7.66,99921.93,461,40,0
450,8875.89,48,5.05,188943.55,640,62,0
451,26190.5,12,6.15,20000.0,565,50,0
452,88903.57,24,7.29,39086.83,486,18,0
453,54087.8,48,6.12,91878.15,567,41,0
454,25108.78,60,5.69,45128.76,596,30,1
455,68162.3,60,5.71,61524.15,595,57,1
456,113674.32,12,2.89,196409.81,789,58,0
457,130291.6,36,5.78,151040.87,590,42,0
458,23809.1,12,2.81,98785.05,794,68,0
459,9531.44,36,6.01,71641.89,574,61,0
460,121999.83,12,4.21,100513.54,698,38,0
461,5000.0,60,6.38,113527.8,549,53,0
462,63950.69,48,2.42,45765.53,821,33,0
463,7570.07,24,3.13,125593.62,772,39,0
464,24664.58,48,3.83,89965.64,724,54,0
465,26513.65,60,2.04,88778.82,847,45,1
466,8643.79,24,3.64,65292.13,737,23,0
467,127991.06,36,4.28,99210.86,693,51,0
468,5000.0,36,6.89,135737.89,514,40,0
469,112125.58,60,8.34,29783.94,414,33,0
470,107634.74,24,6.8,225408.97,520,28,0
471,19060.36,48,7.37,143652.33,481,42,0
472,60917.83,60,6.07,25908.36,570,48,0
473,14571.72,36,3.32,124588.7,759,41,0
474,71100.96,60,6.47,56974.73,543,49,0
475,41176.43,48,5.59,22430.13,603,41,0
476,17849.85,12,4.84,39780.66,655,53,0
477,25560.85,12,4.78,42199.21,659,42,0
478,58541.21,48,5.78,105018.44,590,20,1
479,118274.89,24,3.19,64743.84,768,27,1
480,7004.87,60,4.88,89279.98,652,37,0
481,42357.36,48,4.66,119426.83,667,63,0
482,14633.34,12,2.0,98774.52,850,30,0
483,80816.14,36,2.39,120955.16,823,50,0
484,5000.0,48,4.89,36766.65,651,51,0
485,58391.01,48,4.12,52699.96,704,26,1
486,9615.32,48,6.26,31336.25,557,40,0
487,45364.74,12,7.95,55342.61,441,47,0
488,90300.81,12,3.92,32861.88,718,40,1
489,70341.32,48,6.45,42302.18,544,53,0
490,69906.79,48,4.09,37498.24,706,52,0
491,36474.51,24,2.0,74041.13,850,48,0
492,110703.8,36,7.64,170036.18,462,58,0
493,44349.36,60,8.23,20000.0,422,44,0
494,124758.74,60,6.25,48889.99,558,46,0
495,39540.48,60,3.73,110740.53,731,49,0
496,35257.5,12,3.09,43300.94,775,28,0
497,12574.13,12,3.75,136411.55,730,53,0
498,39349.45,24,4.5,30984.59,678,35,0
499,7575.16,12,4.89,49902.78,651,41,0
500,101892.03,48,4.73,46430.73,662,53,0
501,56333.91,36,3.19,38345.73,768,51,0
502,252850.58,36,5.85,54243.65,585,23,0
503,5000.0,36,4.85,138107.91,654,23,0
504,13766.12,36,6.6,74033.04,534,30,0
505,104843.06,60,4.4,194258.1,685,48,0
506,25147.35,60,4.89,27481.67,651,64,0
507,31396.35,48,2.0,159955.07,850,37,0
508,98539.0,24,7.06,20000.0,502,30,0
509,36888.74,12,3.56,111726.89,743,30,0
510,10751.07,12,5.67,210558.68,598,51,0
511,111295.15,60,3.72,201610.25,732,61,0
512,5000.0,36,3.83,38688.36,724,60,0
513,112878.8,48,5.33,123154.21,621,34,0
514,5000.0,24,6.42,150153.28,546,22,0
515,54808.17,60,6.45,107205.44,544,46,0
516,5000.0,48,4.76,44902.22,660,67,0
517,61245.01,48,5.97,34021.8,577,51,0
518,5000.0,60,5.26,57817.89,626,24,0
519,92403.07,48,6.73,118987.26,525,43,0
520,31362.72,36,4.18,48744.12,700,29,0
521,5000.0,48,6.22,58612.65,560,49,1
522,61348.33,24,5.52,59696.01,608,44,0
523,33597.68,48,3.0,100112.84,781,40,0
524,10594.66,12,4.71,66919.28,664,35,0
525,5000.0,48,3.82,39254.56,725,51,0
526,27064.09,60,6.31,38160.17,554,62,0
527,5000.0,12,4.52,165437.67,677,69,0
528,5000.0,60,4.28,123453.31,693,51,0
529,15552.96,24,6.32,99576.99,553,64,0
530,49774.58,36,4.82,75038.82,656,29,0
531,37741.62,24,5.53,20000.0,607,39,1
532,5000.0,12,4.52,151888.1,677,30,0
533,172779.42,36,6.84,39735.97,517,37,0
534,109093.07,48,6.44,42799.33,545,29,0
535,15002.95,12,6.95,113889.63,510,69,1
536,6524.72,36,6.6,152107.95,534,39,0
537,142714.12,60,5.83,67980.5,587,42,1
538,30915.14,36,4.17,89633.35,701,21,0
539,18637.82,60,4.78,20000.0,659,18,0
540,33702.34,60,4.79,73057.46,658,70,0
541,74083.94,36,6.33,56859.07,552,41,0
542,9219.3,24,4.95,92877.12,647,79,0
543,72942.36,24,3.09,79799.14,775,42,0
544,69204.2,60,4.49,28367.72,679,26,1
545,38755.64,12,3.73,123793.12,731,45,0
546,100436.96,36,5.65,102631.84,599,46,1
547,7086.44,12,5.61,52017.53,602,47,0
548,45252.58,24,4.15,20000.0,702,43,0
549,29832.16,12,6.28,196628.41,556,22,0
550,27434.35,48,5.1,67857.06,637,21,1
551,14555.13,48,4.65,92635.46,668,62,0
552,23283.03,24,5.49,37730.23,610,74,1
553,5722.91,12,6.15,105687.4,565,40,0
554,14490.82,36,5.87,74246.2,584,18,1
555,15870.32,24,6.92,82562.44,512,63,1
556,63767.69,48,4.52,26484.11,677,32,0
557,5000.0,24,3.7,76488.33,733,50,0
558,52661.73,12,5.65,25773.49,599,37,0
559,12513.53,12,2.0,100751.68,850,37,0
560,5000.0,12,6.01,103738.15,574,32,0
561,17891.36,60,6.0,75058.77,575,65,0
562,12710.62,12,3.8,67482.71,726,51,0
563,40151.72,48,4.01,89197.18,712,49,1
564,22109.81,48,3.95,32397.95,716,45,0
565,169060.54,60,3.35,236959.68,757,50,0
566,165590.14,48,6.28,48176.98,556,27,0
567,29323.75,48,4.37,100228.71,687,52,0
568,79258.6,24,6.95,129521.31,510,63,0
569,5000.0,12,3.37,55495.25,756,48,1
570,39682.82,24,3.47,119222.04,749,57,0
571,67992.2,24,3.4,169115.96,754,38,0
572,12227.5,48,5.0,93185.96,644,51,0
573,5000.0,36,3.43,34979.92,752,39,0
574,8475.34,12,4.68,31195.81,666,20,0
575,29156.21,36,2.9,227615.61,788,41,0
576,35298.6,48,5.36,44326.55,619,61,0
577,23973.22,60,5.39,111111.36,617,24,0
578,28988.58,24,4.3,222144.83,692,69,0
579,31766.08,48,6.76,57008.23,523,36,1
580,73361.48,48,5.26,37900.2,626,53,0
